name,city,address,region,is_active,latitude,longitude,source_url,banki_office_id
Сбербанк — Дополнительный офис №8646/0815,Бородино,"Красноярский край, Рыбинский р-н, г Бородино, ул Ленина, д 50",Красноярский край,true,55.901571,94.897721,https://www.banki.ru/banks/bank/sberbank/branches/krasnoyarskiy_kray/borodino/,13390438
Сбербанк — Дополнительный офис №8646/0441,Бражное,"Красноярский край, Канский р-н, с Бражное, ул Молодежная, д 1А",Красноярский край,true,56.06299,95.863891,https://www.banki.ru/banks/bank/sberbank/branches/krasnoyarskiy_kray/brazhnoe/,13291246
Сбербанк — Дополнительный офис №8646/0930,Брянка,"Красноярский край, Северо-Енисейский р-н, п Брянка, ул Школьная, зд 42",Красноярский край,true,59.109106,93.47323,https://www.banki.ru/banks/bank/sberbank/branches/krasnoyarskiy_kray/bryanka/,13291345
Сбербанк — Дополнительный офис №8646/0505,Ванавара,"Красноярский край, Эвенкийский р-н, с Ванавара, ул Кулика, д 21",Красноярский край,true,60.344589,102.284442,https://www.banki.ru/banks/bank/sberbank/branches/krasnoyarskiy_kray/vanavara/,13291259
Сбербанк — Дополнительный офис №8646/0929,Вангаш,"Красноярский край, Северо-Енисейский р-н, п Вангаш, ул Центральная, зд 31",Красноярский край,true,59.970269,93.616521,https://www.banki.ru/banks/bank/sberbank/branches/krasnoyarskiy_kray/vangassh/,13291344
Сбербанк — Дополнительный офис №8646/0402,Георгиевка,"Красноярский край, Канский р-н, с Георгиевка, ул Октябрьская, д 15 стр 1",Красноярский край,true,56.515352,95.410106,https://www.banki.ru/banks/bank/sberbank/branches/krasnoyarskiy_kray/georgievka/,13291221
Сбербанк — Дополнительный офис №8646/0345,Городок,"Красноярский край, Минусинский р-н, с Городок, ул Ленина, д 6А",Красноярский край,true,53.929302,91.802416,https://www.banki.ru/banks/bank/sberbank/branches/krasnoyarskiy_kray/gorodok/,13291213
Сбербанк — Дополнительный офис №8646/0350,Детлово,"Красноярский край, Курагинский р-н, п Детлово, ул Ленина, д 32А",Красноярский край,true,54.088308,92.456442,https://www.banki.ru/banks/bank/sberbank/branches/krasnoyarskiy_kray/detlovo/,13291218
Сбербанк — Дополнительный офис №8646/0418,Дзержинское,"Красноярский край, с Дзержинское, ул Кирова, зд 3А",Красноярский край,true,56.8389,95.225791,https://www.banki.ru/banks/bank/sberbank/branches/krasnoyarskiy_kray/dzerzhinskoe/,13291224
Сбербанк — Дополнительный офис №8646/077,Дивногорск,"Красноярский край, г Дивногорск, ул Хулиана Гримау, д 4А",Красноярский край,true,55.95608,92.380051,https://www.banki.ru/banks/bank/sberbank/branches/krasnoyarskiy_kray/divnogorsk/,13291309
Сбербанк — Дополнительный офис №8646/0713,Диксон,"Красноярский край, Таймырский Долгано-Ненецкий р-н, пгт Диксон, ул Воронина, д 8",Красноярский край,true,73.506726,80.519727,https://www.banki.ru/banks/bank/sberbank/branches/krasnoyarskiy_kray/dikson/,13291302
Сбербанк — Дополнительный офис №8646/0423,Долгий Мост,"Красноярский край, Абанский р-н, с Долгий Мост, ул Советская, д 78",Красноярский край,true,56.750335,96.800057,https://www.banki.ru/banks/bank/sberbank/branches/krasnoyarskiy_kray/dolgiy_most/,13291229
Сбербанк — Дополнительный офис №8646/0501,Емельяново,"Красноярский край, пгт Емельяново, ул Кооперативная, д 2А стр 1",Красноярский край,true,56.168611,92.68094,https://www.banki.ru/banks/bank/sberbank/branches/krasnoyarskiy_kray/emel~yanovo/,13291255
Сбербанк — Дополнительный офис №8646/0313,Ермаковское,"Красноярский край, с Ермаковское, ул Ленина, д 87",Красноярский край,true,53.277184,92.403468,https://www.banki.ru/banks/bank/sberbank/branches/krasnoyarskiy_kray/ermakovskoe/,13291197
